"","name","hex"
"166","Blue Blood","#659FB6"
"167","Heavenly Blue","#72A2F1"
"168","Princess Blue","#149CC4"
"169","Icelandic Blue","#AAADC2"
"170","Intense Blue","#232A6C"
"171","Alienware Blue","#007CC0"
"172","Light Blue Gray","#A3AABE"
"173","Ballad Blue","#C0CEDA"
"174","Blueberry Mauve","#A99EB3"
"175","Blue Skies","#1273CE"
"176","UNICEF Blue","#1CABE2"
"177","Smock Blue","#3B646C"
"178","Teal Blue (Pantone)","#007F7B"
"179","Blue Cheese","#D9E4DF"
"180","Tiffany Blue","#0BBBBB"
"181","Bolt Blue","#006CFF"
"182","Average Blue","#4E80DE"
"183","Classic Blue Gray","#7B8295"
"184","Country Blue","#759DAF"
"185","Alpine Blue","#2673E2"
"186","Marooned Blue","#352640"
"187","Ice Crystal Blue","#A6E3E0"
"188","Corundum Blue","#4A6267"
"189","Frosty Soft Blue","#B4E0DE"
"190","BlackBerry Blue","#1475DC"
"191","Rose Blue","#7D7CC0"
"192","Silver Fir Blue","#7196A2"
"193","Sailor Blue","#006687"
"194","Shazam Blue","#0088FF"
"195","Robin’s Egg Blue","#00CCCC"
"196","Young Boy Blue","#4F8AD2"
"197","Cotton Blue","#2063AC"
"198","Azores Blue","#0085A7"
"199","Blue Coral","#1C5366"
"200","Antique Royal Blue","#37405E"
"201","Powder Soft Blue","#B9C9D7"
"202","Granite Blue","#6D778F"
"203","Aqua Blue","#65D8EC"
"204","Lake Blue","#5E8FC7"
"205","Light Teal Blue","#518E99"
"206","Costume Blue","#6477A0"
"207","Bold Blue","#24325A"
"208","Stone Blue","#00688D"
"209","Adriatic Blue","#5C899C"
"210","Nautical Blue","#223658"
"211","Aquatic Blue","#12DBF1"
"212","Blue Aura","#7582FC"
"213","Pyjama Blue","#6299AA"
"214","Blue Purple","#251858"
"215","Limousine Grey Blue","#535F62"
"216","Dell Blue","#0076CE"
"217","Expedia Blue","#000099"
"218","Jewel Blue","#73BCEC"
"219","Iris Blue","#49589C"
"220","Succulent Blue","#B7D9D9"
"221","Blue Whale","#6E8195"
"222","Brilliant Blue","#2752D6"
"223","Violet Blue","#4157A2"
"224","Blue Grotto","#0A69D6"
"225","Eggshell Blue","#9EC6C2"
"226","Icy Blue","#97C1E6"
"227","Orient Blue","#156681"
"228","Deep Aqua Blue","#1396C9"
"229","Clear Winter Blue","#506497"
"230","Classic Dark Blue","#1E2A56"
"231","UNESCO Blue","#0077D4"
"232","Bright Royal Blue","#131C42"
"233","Onion Skin Blue","#4C5692"
"234","Blizzard Blue","#B7E2F3"
"235","Pacific Blue","#83B0D6"
"236","Light Blue Grey","#C0C8CF"
"237","Classic Blue-green","#31A39D"
"238","Morpho Blue","#0399C4"
"239","Heron Blue","#6E819D"
"240","Facebook Blue","#1877F2"
"241","Best Calming Blue Colors","#9FCAE5"
"242","Betta Blue","#0E6B8A"
"243","Jay Blue","#4A85BE"
"244","Blueberry Ice Cream","#846C96"
"245","Spindrift Blue","#8DD3E5"
"246","Forest Blue","#2B689C"
"247","Japanese Blue","#1C3563"
"248","Crystal Blue (RAL Design)","#9BD0E5"
"249","Lady Blue","#7557F0"
"250","Polar Blue","#B3E0E7"
"251","Technical Blue","#587C8D"
"252","Hyacinth Blue","#1E5DA5"
"253","Altdorf Sky Blue","#00A1AC"
"254","Architecture Blue","#7195A6"
"255","Prussian Blue (RAL Design)","#003442"
"256","Portuguese Blue","#3C5E95"
"257","Advertising Blue","#0081A8"
"258","Acid Wash Blue","#8198B2"
"259","Trendy Blue","#555D99"
"260","Ice Blue Grey","#717787"
"261","Milk Blue","#DCE3E7"
"262","Carbon Blue","#646B70"
"263","English Blue","#132855"
"264","Blue Ivory","#6E79C2"
"265","Boho Blue","#235877"
"266","Prince Blue","#004883"
"267","China Blue","#00838D"
"268","Aquamarine Blue (RAL Design)","#319F9F"
"269","Flat Blue","#73A8E6"
"270","Industrial Blue","#00898C"
"271","Neutral Blue-Green","#7F8F8E"
"272","Arctic Blue","#90E0F7"
